7533288 -438170 8314407
-4603735 428244 -8578576
4945656 4260097 5404850
2604114 7839474 -4049105
79339 610727 -3045048
-1597882 -7713788 1163763
9316229 7514625 7061925
-121643 331046 -7042895
2039537 8602178 -2157459
3177193 3230413 4385120
-5160299 -2212466 2758728
-3135861 894842 4839801
2150288 510575 -4943563
-1789901 -9461084 4644585
-1495647 6342729 -3347956
5371824 3563238 -1627314
8258773 -2595745 7365356
-2373309 3342997 -703213
7972855 -9028137 6041639
4059052 1554122 -1051147
7181031 7005258 -8285694
-5942124 -7333011 9651388
8392125 -6517483 7148741
-1800416 -3246444 9497853
1937659 -3775762 -9523218
6463295 -9406968 3756235
400010 4525960 8193457
6818881 -3766988 1737646
2707638 4883093 8559516
